AssetID,Asset Name,Asset Category,Asset SubCategory,Asset Category_old,Notes
acfcc164-11cc-42af-b208-19af93c124e4,"LEGO, BrickLink Designer Collection",,,,
a8d6f76b-017c-4907-b55b-7c871daf4413,"LEGO, Classic Cars Bundle - 15 sets each",,,,
11d12012-4693-4642-a35d-f2588ab01479,"LEGO, Fairground Collection",,,,
2711a4ca-2045-440c-81b2-9538a41be505,"LEGO, Medieval Bundle",,,,
73aecc99-d6ab-4596-ad49-098530ad3b82,"LEGO, Ninjago Bundle (70 boxes)",,,,
b8a049c6-7bc7-48e2-81fe-b2706a46fac6,"LEGO, Star Wars UCS Bundle, 25 sets each",,,,
1b856bba-a118-453e-bb65-ef97e15f3464,"Lego, Ultimative Star Wars Helmet Collection",,,,
074e1d64-8043-4002-8792-620ab7ae41d9,Lewis Hamilton 2024 Topps Dynasty F1 Auto Patch 1of1 Zipper Encased,,,,
5c107acb-042c-4b17-bbcf-20232f4c8d9c,Lionel Messi 2024 Topps Chrome MLS Superfractor 1of1 PSA 9,Sports Trading Cards,Lionel Messi,,
3dccf35d-7408-4cdd-8fc4-716dadc84696,Louis Vuitton Supreme Skateboard Trunk (1-of-10),,,,
326925af-ad63-4d20-87cf-303d06fa585b,Luka Dončić 2023 National Treasures Game Used Logoman Auto 1of1 BGS 9,,,,
d467a92e-3d34-40e2-8882-c853229aa727,Luka Dončić 2023 Prizm Logoman Auto 1of1 Encased,,,,
740c7090-15ac-4d86-9c32-444b3481e11e,"Mary Poppins, First Edition, signed by P.L. Travers, 1934",Printed Media,,Various,
21f735b6-6060-4db4-9294-4c12b39df750,"Maurice Mboa, Transition Énergétique",,,,
f8fdee45-ec64-4081-87ff-13679e757d88,"McLaren, MP4-12C, 2013",,,,
5d68c85d-b9b3-4d2e-bdda-49233cb8a086,Michael Jordan 2006 Exquisite Collection Base 23/225 Jersey Number PSA 5,,,,
6efc7dfb-9a13-4dcd-bb2d-7583d6cbb994,"Michael Jordan Autographed Nike Air Jordan 1 Retro High Off-White ""UNC"" Shoes",,,,
1f7f07b5-bf17-4ee8-a9c5-13f9f82d76b2,"Michael Schumacher - Race-Worn Set, 1995",,,,
203a6e72-7221-4df0-9583-f1e8b8a13450,"Móyòsóré Martins, How I See It  (Triptych), 2023",,,,
e2bc0133-ffde-41f4-93a5-df858b0849b3,"Móyòsóré Martins, Portfolio I",,,,
87dd696a-488d-48cb-b6bc-87152ef0ed95,"Móyòsóré Martins, Pursuit of Grace II, 2024",,,,
262a2bf1-b4a0-49ef-8e70-709b43758d8d,Nike Air Jordan 1 OG 1985 Bred,,,,
4215353a-68ff-4718-b3d4-a717b6bf2eb8,Nike Dunk Low ‘Virgil Abloh x Futura’ Syracuse (1 of 1),,,,
44f22708-e03f-4635-bf03-4fe701fe08a1,Nike Dunk Low ‘Virgil Abloh x Futura’ UNC (1 of 8),,,,
e2bd069b-dd06-4000-bcb5-310d15ba2deb,Nike SB Dunk High FLOM (1-of-24) by Futura,,,,
29b0be5b-307f-48e4-bf8d-d4798f1def52,Nike SB Dunk High Iron Maiden (1-of-24),,,,
d3c5575e-ad77-40c9-a894-a3cfb67b20c4,"Nike SB Dunk Low ""What The Dunk"" including Booklet",,,,
5fbfddaf-6a7a-4631-bb3f-c0c65233b052,Nike SB Dunk Low White Lobster F&F (US 9),,,,
