AssetID,Asset Name,Month,Date,Price,Currency
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2026-07,29.07.2026,22.92,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2026-08,04.08.2026,22.92,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2026-1-,,61.69,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2026-2-,,61.69,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2026-3-,,61.69,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2026-4-,,61.69,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2026-5-,,61.78,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2026-6-,,58.38,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2026-7-,,58.38,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2026-8-,,22.92,EUR
164578a4-7644-4cb6-9df1-77330051de94,"Amanda Watt, The Ballroom, 2022",2026-04,24.04.2026,50.11,EUR
164578a4-7644-4cb6-9df1-77330051de94,"Amanda Watt, The Ballroom, 2022",2026-05,07.05.2026,50.11,EUR
164578a4-7644-4cb6-9df1-77330051de94,"Amanda Watt, The Ballroom, 2022",2026-06,17.06.2026,50.25,EUR
164578a4-7644-4cb6-9df1-77330051de94,"Amanda Watt, The Ballroom, 2022",2026-07,29.07.2026,50.32,EUR
164578a4-7644-4cb6-9df1-77330051de94,"Amanda Watt, The Ballroom, 2022",2026-08,04.08.2026,50.32,EUR
164578a4-7644-4cb6-9df1-77330051de94,"Amanda Watt, The Ballroom, 2022",2026-4-,,50.11,EUR
164578a4-7644-4cb6-9df1-77330051de94,"Amanda Watt, The Ballroom, 2022",2026-5-,,50.18,EUR
164578a4-7644-4cb6-9df1-77330051de94,"Amanda Watt, The Ballroom, 2022",2026-6-,,50.25,EUR
164578a4-7644-4cb6-9df1-77330051de94,"Amanda Watt, The Ballroom, 2022",2026-7-,,50.32,EUR
164578a4-7644-4cb6-9df1-77330051de94,"Amanda Watt, The Ballroom, 2022",2026-8-,,50.32,EUR
a817302f-a842-41df-8a08-740242e385d8,"Anthony Daley, Epocate, 2022",2026-04,24.04.2026,58.09,EUR
a817302f-a842-41df-8a08-740242e385d8,"Anthony Daley, Epocate, 2022",2026-05,07.05.2026,58.09,EUR
a817302f-a842-41df-8a08-740242e385d8,"Anthony Daley, Epocate, 2022",2026-06,17.06.2026,58.26,EUR
a817302f-a842-41df-8a08-740242e385d8,"Anthony Daley, Epocate, 2022",2026-07,29.07.2026,58.34,EUR
a817302f-a842-41df-8a08-740242e385d8,"Anthony Daley, Epocate, 2022",2026-08,04.08.2026,58.34,EUR
a817302f-a842-41df-8a08-740242e385d8,"Anthony Daley, Epocate, 2022",2026-4-,,58.09,EUR
a817302f-a842-41df-8a08-740242e385d8,"Anthony Daley, Epocate, 2022",2026-5-,,58.18,EUR
a817302f-a842-41df-8a08-740242e385d8,"Anthony Daley, Epocate, 2022",2026-6-,,58.26,EUR
a817302f-a842-41df-8a08-740242e385d8,"Anthony Daley, Epocate, 2022",2026-7-,,58.34,EUR
a817302f-a842-41df-8a08-740242e385d8,"Anthony Daley, Epocate, 2022",2026-8-,,58.34,EUR
7db39931-690c-4d3d-b295-572ed743ce81,"Anthony James, 24” Dodecahedron (Jet Black), 2022",2025-11,,61.85,EUR
7db39931-690c-4d3d-b295-572ed743ce81,"Anthony James, 24” Dodecahedron (Jet Black), 2022",2025-12,,63.24,EUR
7db39931-690c-4d3d-b295-572ed743ce81,"Anthony James, 24” Dodecahedron (Jet Black), 2022",2026-01,16.01.2026,63.24,EUR
7db39931-690c-4d3d-b295-572ed743ce81,"Anthony James, 24” Dodecahedron (Jet Black), 2022",2026-02,14.02.2026,63.24,EUR
7db39931-690c-4d3d-b295-572ed743ce81,"Anthony James, 24” Dodecahedron (Jet Black), 2022",2026-03,24.03.2026,63.24,EUR
7db39931-690c-4d3d-b295-572ed743ce81,"Anthony James, 24” Dodecahedron (Jet Black), 2022",2026-04,24.04.2026,63.24,EUR
7db39931-690c-4d3d-b295-572ed743ce81,"Anthony James, 24” Dodecahedron (Jet Black), 2022",2026-05,07.05.2026,63.24,EUR
7db39931-690c-4d3d-b295-572ed743ce81,"Anthony James, 24” Dodecahedron (Jet Black), 2022",2026-06,17.06.2026,64.50,EUR
7db39931-690c-4d3d-b295-572ed743ce81,"Anthony James, 24” Dodecahedron (Jet Black), 2022",2026-07,29.07.2026,65.13,EUR
7db39931-690c-4d3d-b295-572ed743ce81,"Anthony James, 24” Dodecahedron (Jet Black), 2022",2026-08,04.08.2026,65.13,EUR
7db39931-690c-4d3d-b295-572ed743ce81,"Anthony James, 24” Dodecahedron (Jet Black), 2022",2026-1-,,63.24,EUR
7db39931-690c-4d3d-b295-572ed743ce81,"Anthony James, 24” Dodecahedron (Jet Black), 2022",2026-2-,,63.24,EUR
7db39931-690c-4d3d-b295-572ed743ce81,"Anthony James, 24” Dodecahedron (Jet Black), 2022",2026-3-,,63.24,EUR
7db39931-690c-4d3d-b295-572ed743ce81,"Anthony James, 24” Dodecahedron (Jet Black), 2022",2026-4-,,63.24,EUR
7db39931-690c-4d3d-b295-572ed743ce81,"Anthony James, 24” Dodecahedron (Jet Black), 2022",2026-5-,,63.87,EUR
7db39931-690c-4d3d-b295-572ed743ce81,"Anthony James, 24” Dodecahedron (Jet Black), 2022",2026-6-,,64.50,EUR
